city,city_ascii,country,lat,lng
Dolgoprudnyy,Dolgoprudnyy,Russia,55.9333,37.5
Shkodër,Shkoder,Albania,42.0667,19.5
Jena,Jena,Germany,50.9272,11.5864
Mopti,Mopti,Mali,14.49,-4.18
Kars,Kars,Turkey,40.6069,43.0931
Santana,Santana,Brazil,-0.035,-51.175
Olmaliq,Olmaliq,Uzbekistan,40.85,69.6
Cavite City,Cavite City,Philippines,14.4833,120.9
Bou Saâda,Bou Saada,Algeria,35.2083,4.1739
Candaba,Candaba,Philippines,15.0933,120.8283
Tangjia,Tangjia,China,22.3606,113.5962
Nikopol,Nikopol,Ukraine,47.5772,34.3575
Ciudad Mante,Ciudad Mante,Mexico,22.7333,-98.95
Pompano Beach,Pompano Beach,United States,26.2428,-80.1312
Laoag,Laoag,Philippines,18.1951,120.5918
Corumbá,Corumba,Brazil,-19.0089,-57.6528
Zhukovskiy,Zhukovskiy,Russia,55.6011,38.1161
West Palm Beach,West Palm Beach,United States,26.7468,-80.1316
Kristiansand,Kristiansand,Norway,58.1467,7.9956
Funchal,Funchal,Portugal,32.65,-16.9167
Colatina,Colatina,Brazil,-19.5389,-40.6308
Ligao,Ligao,Philippines,13.2167,123.5167
Kuqa,Kuqa,China,41.7277,82.9364
Nsukka,Nsukka,Nigeria,6.8567,7.3958
Escuintla,Escuintla,Mexico,15.3194,-92.6583
Hounslow,Hounslow,United Kingdom,51.4668,-0.375
Terni,Terni,Italy,42.5667,12.65
Norzagaray,Norzagaray,Philippines,14.9167,121.05
Waterloo,Waterloo,United States,42.492,-92.3522
Parintins,Parintins,Brazil,-2.6278,-56.7358
Trier,Trier,Germany,49.7567,6.6414
Terrebonne,Terrebonne,Canada,45.7,-73.6333
Namur,Namur,Belgium,50.4667,4.8667
Rochdale,Rochdale,United Kingdom,53.6136,-2.161
Murom,Murom,Russia,55.5725,42.0514
Bedford,Bedford,United Kingdom,52.135,-0.47
Tondabayashichō,Tondabayashicho,Japan,34.4992,135.5972
Everett,Everett,United States,47.9525,-122.1669
Pingquan,Pingquan,China,40.9937,118.6735
Manzini,Manzini,Swaziland,-26.4833,31.3667
El Centro,El Centro,United States,32.7867,-115.5586
Villa Mercedes,Villa Mercedes,Argentina,-33.6667,-65.4667
Winterthur,Winterthur,Switzerland,47.4992,8.7267
Jawhar,Jawhar,Somalia,2.7833,45.5
Tuzla,Tuzla,Bosnia And Herzegovina,44.5381,18.6761
Tarnów,Tarnow,Poland,50.0125,20.9883
Gafsa,Gafsa,Tunisia,34.4167,8.7833
Santa Fe,Santa Fe,United States,35.6619,-105.9819
Khardah,Khardah,India,22.72,88.38
Gapan,Gapan,Philippines,15.3075,120.9453
Nguru,Nguru,Nigeria,12.8804,10.45
Bandar-e Anzalī,Bandar-e Anzali,Iran,37.4667,49.4667
Khushab,Khushab,Pakistan,32.2917,72.35
Plaridel,Plaridel,Philippines,14.8869,120.8569
Downey,Downey,United States,33.9379,-118.1312
Spring Hill,Spring Hill,United States,28.4797,-82.53
Stockport,Stockport,United Kingdom,53.4083,-2.1494
Kecskemét,Kecskemet,Hungary,46.9074,19.6917
Catalão,Catalao,Brazil,-18.17,-47.9419
Lowell,Lowell,United States,42.6389,-71.3217
Sonsonate,Sonsonate,El Salvador,13.7167,-89.7167
Ahuachapán,Ahuachapan,El Salvador,13.9214,-89.845
Fresnillo,Fresnillo,Mexico,23.175,-102.8675
Centennial,Centennial,United States,39.5926,-104.8674
Fasā,Fasa,Iran,28.9381,53.6481
As Salamīyah,As Salamiyah,Syria,35.0111,37.0531
Yessentuki,Yessentuki,Russia,44.0431,42.8644
Elgin,Elgin,United States,42.0385,-88.3229
Tabuk,Tabuk,Philippines,17.45,121.4583
Coronel Fabriciano,Coronel Fabriciano,Brazil,-19.5189,-42.6289
Kiffa,Kiffa,Mauritania,16.6164,-11.4044
Santander de Quilichao,Santander de Quilichao,Colombia,3.0083,-76.4839
Dali,Dali,China,34.7953,109.9378
Calumpit,Calumpit,Philippines,14.9167,120.7667
Yenangyaung,Yenangyaung,Myanmar,20.4583,94.8732
Ourinhos,Ourinhos,Brazil,-22.9789,-49.8708
Quíbor,Quibor,Venezuela,9.9281,-69.5778
Iguala de la Independencia,Iguala de la Independencia,Mexico,18.35,-99.5333
Borāzjān,Borazjan,Iran,29.2667,51.2158
Richmond,Richmond,United States,37.9477,-122.339
Socopó,Socopo,Venezuela,8.2322,-70.8206
Shinyanga,Shinyanga,Tanzania,-3.6619,33.4231
Ash Shaykh ‘Uthmān,Ash Shaykh `Uthman,Yemen,12.8866,45.0279
Genhe,Genhe,China,50.7833,121.5167
Montego Bay,Montego Bay,Jamaica,18.4667,-77.9167
Bāneh,Baneh,Iran,35.9975,45.8853
Shirayamamachi,Shirayamamachi,Japan,36.5144,136.5656
Msaken,Msaken,Tunisia,35.7333,10.5833
Mascara,Mascara,Algeria,35.4,0.1333
Espejo,Espejo,Chile,-33.5333,-70.7167
Darlington,Darlington,United Kingdom,54.527,-1.5526
Broken Arrow,Broken Arrow,United States,36.0365,-95.7809
Milton,Milton,Canada,43.5083,-79.8833
Yŏju,Yoju,"Korea, South",37.2939,127.6383
Xishancun,Xishancun,China,23.6014,116.3257
Bangaon,Bangaon,India,23.07,88.82
Miami Gardens,Miami Gardens,United States,25.9433,-80.2426
Pisco,Pisco,Peru,-13.71,-76.2032
Dera Ismail Khan,Dera Ismail Khan,Pakistan,31.8167,70.9167
Taitung,Taitung,Taiwan,22.7583,121.1444
Bend,Bend,United States,44.0562,-121.3087
Burlington,Burlington,United States,44.4877,-73.2314
Sandachō,Sandacho,Japan,34.8894,135.2253
Kandi,Kandi,Benin,11.1304,2.94
Aguachica,Aguachica,Colombia,8.3067,-73.6153
Apalit,Apalit,Philippines,14.9496,120.7587
Baybay,Baybay,Philippines,10.6833,124.8
Labé,Labe,Guinea,11.3167,-12.2833
Ariquemes,Ariquemes,Brazil,-9.9161,-63.0408
Jurupa Valley,Jurupa Valley,United States,34.001,-117.4705
Medenine,Medenine,Tunisia,33.3547,10.5053
Muriaé,Muriae,Brazil,-21.1308,-42.3658
Taoyang,Taoyang,China,35.3754,103.8612
Gualeguaychú,Gualeguaychu,Argentina,-33.0078,-58.5111
Kasserine,Kasserine,Tunisia,35.1667,8.8333
Béja,Beja,Tunisia,36.7256,9.1817
Caen,Caen,France,49.18,-0.37
Botoşani,Botosani,Romania,47.7486,26.6694
Sandy Springs,Sandy Springs,United States,33.9366,-84.3703
Yŏngju,Yongju,"Korea, South",36.8217,128.6308
Gresham,Gresham,United States,45.5023,-122.4413
Uitenhage,Uitenhage,South Africa,-33.75,25.4
Bukoba,Bukoba,Tanzania,-1.3333,31.8167
Maxixe,Maxixe,Mozambique,-23.8597,35.3472
Soubré,Soubre,Côte D’Ivoire,5.7836,-6.5939
Lewisville,Lewisville,United States,33.0452,-96.9823
Ipiales,Ipiales,Colombia,0.8289,-77.6406
Mineshita,Mineshita,Japan,35.1186,138.9186
Hillsboro,Hillsboro,United States,45.5272,-122.9361
Soma,Soma,Turkey,39.1833,27.6056
San Buenaventura,San Buenaventura,United States,34.2741,-119.2314
Musoma,Musoma,Tanzania,-1.5069,33.8042
Novoshakhtinsk,Novoshakhtinsk,Russia,47.7667,39.9167
Libmanan,Libmanan,Philippines,13.7,123.0667
San Juan,San Juan,Philippines,13.826,121.396
Crawley,Crawley,United Kingdom,51.1092,-0.1872
Ferizaj,Ferizaj,Kosovo,42.3667,21.1667
Ikeda,Ikeda,Japan,34.8167,135.4333
St. John's,St. John's,Canada,47.4817,-52.7971
Jacksonville,Jacksonville,United States,34.7288,-77.3941
Salford,Salford,United Kingdom,53.483,-2.2931
Wembley,Wembley,United Kingdom,51.5528,-0.2979
Pottstown,Pottstown,United States,40.2507,-75.6444
Ādīgrat,Adigrat,Ethiopia,14.2804,39.47
Itaúna,Itauna,Brazil,-20.075,-44.5758
Al Fqih Ben Çalah,Al Fqih Ben Calah,Morocco,32.5,-6.7
Moncton,Moncton,Canada,46.1328,-64.7714
Tādpatri,Tadpatri,India,14.92,78.02
Huauchinango,Huauchinango,Mexico,20.1767,-98.0528
Yāsūj,Yasuj,Iran,30.6667,51.5833
Tipitapa,Tipitapa,Nicaragua,12.1973,-86.0971
Alto Hospicio,Alto Hospicio,Chile,-20.25,-70.1167
Jalpāiguri,Jalpaiguri,India,26.5167,88.7333
Dagenham,Dagenham,United Kingdom,51.5397,0.1422
Mangaldan,Mangaldan,Philippines,16.07,120.4025
Birnin Kebbi,Birnin Kebbi,Nigeria,12.4504,4.1999
Samaná,Samana,Dominican Republic,19.2053,-69.3364
Šiauliai,Siauliai,Lithuania,55.9281,23.3167
Seversk,Seversk,Russia,56.6,84.85
El Limón,El Limon,Venezuela,10.3059,-67.6321
Reus,Reus,Spain,41.1549,1.1087
Inglewood,Inglewood,United States,33.9566,-118.3444
Sarh,Sarh,Chad,9.15,18.3833
An Nuhūd,An Nuhud,Sudan,12.6904,28.42
San Rafael,San Rafael,Argentina,-34.6175,-68.3356
Koszalin,Koszalin,Poland,54.1903,16.1817
Escuintla,Escuintla,Guatemala,14.3004,-90.78
Tagbilaran City,Tagbilaran City,Philippines,9.65,123.85
Tajimi,Tajimi,Japan,35.3328,137.1322
Thunder Bay,Thunder Bay,Canada,48.3822,-89.2461
Pavlohrad,Pavlohrad,Ukraine,48.52,35.87
Yevpatoriia,Yevpatoriia,Ukraine,45.2,33.3583
Douliu,Douliu,Taiwan,23.7075,120.5439
Emmen,Emmen,Netherlands,52.7833,6.9
Moortebeek,Moortebeek,Belgium,50.8547,4.3386
Chaman,Chaman,Pakistan,30.921,66.4597
Queenstown,Queenstown,South Africa,-31.9,26.8833
Umm Qaşr,Umm Qasr,Iraq,30.0342,47.9294
Sliven,Sliven,Bulgaria,42.6781,26.326
Suriāpet,Suriapet,India,17.15,79.6167
Kogon Shahri,Kogon Shahri,Uzbekistan,39.7211,64.5458
Ban Mangkon,Ban Mangkon,Thailand,13.6138,100.6104
League City,League City,United States,29.4873,-95.1087
Dinalupihan,Dinalupihan,Philippines,14.8833,120.4667
Kefar Sava,Kefar Sava,Israel,32.1858,34.9077
Alchevsk,Alchevsk,Ukraine,48.4672,38.7983
Chichicastenango,Chichicastenango,Guatemala,14.9442,-91.1105
Araxá,Araxa,Brazil,-19.5928,-46.9408
Gillingham,Gillingham,United Kingdom,51.385,0.55
Roubaix,Roubaix,France,50.6901,3.1817
Eau Claire,Eau Claire,United States,44.8199,-91.4949
Bolzano,Bolzano,Italy,46.5,11.35
Cambé,Cambe,Brazil,-23.2758,-51.2778
Charsadda,Charsadda,Pakistan,34.1453,71.7308
Erdenet,Erdenet,Mongolia,49.0333,104.0833
Turlock,Turlock,United States,37.5053,-120.8588
Temple,Temple,United States,31.1076,-97.3894
La Piedad,La Piedad,Mexico,20.3333,-102.0167
Chongshan,Chongshan,China,18.7787,109.5117
Himamaylan,Himamaylan,Philippines,10.1,122.8667
Mansfield,Mansfield,United Kingdom,53.15,-1.2
Mmabatho,Mmabatho,South Africa,-25.85,25.6333
Ilebo,Ilebo,Congo (Kinshasa),-4.3311,20.5864
Taungoo,Taungoo,Myanmar,18.9483,96.4179
Daet,Daet,Philippines,14.1167,122.95
Mao,Mao,Dominican Republic,19.5667,-71.0833
Dieppe,Dieppe,Canada,46.0989,-64.7242
Arzamas,Arzamas,Russia,55.3833,43.8
Morón,Moron,Argentina,-34.65,-58.6167
Longjiang,Longjiang,China,47.3404,123.18
San Felipe,San Felipe,Mexico,21.4833,-101.2167
Songea,Songea,Tanzania,-10.6833,35.65
Artëm,Artem,Russia,43.35,132.1833
Erechim,Erechim,Brazil,-27.6339,-52.2739
Noyabrsk,Noyabrsk,Russia,63.2017,75.4517
Ilopango,Ilopango,El Salvador,13.7,-89.1167
Nakhon Si Thammarat,Nakhon Si Thammarat,Thailand,8.4363,99.963
Petržalka,Petrzalka,Slovakia,48.1333,17.1167
Tubarão,Tubarao,Brazil,-28.4669,-49.0069
Chābahār,Chabahar,Iran,25.2836,60.6236
Monastir,Monastir,Tunisia,35.778,10.8262
Raba,Raba,Indonesia,-8.4614,118.747
Orsha,Orsha,Belarus,54.5092,30.4258
Patos,Patos,Brazil,-7.0244,-37.28
Jincheng,Jincheng,China,39.5529,113.1933
La Banda,La Banda,Argentina,-27.7333,-64.25
Sioux City,Sioux City,United States,42.4959,-96.3901
Kemalpaşa,Kemalpasa,Turkey,38.4261,27.4172
Salisbury,Salisbury,United States,38.3756,-75.5867
Vĩnh Long,Vinh Long,Vietnam,10.255,105.9753
Passos,Passos,Brazil,-20.7189,-46.61
Ballarat,Ballarat,Australia,-37.55,143.85
Davie,Davie,United States,26.0789,-80.287
Aihua,Aihua,China,24.4629,100.135
Achinsk,Achinsk,Russia,56.2817,90.5039
Daly City,Daly City,United States,37.6862,-122.4685
Dunedin,Dunedin,New Zealand,-45.8667,170.5
Contramaestre,Contramaestre,Cuba,20.3,-76.2506
Subotica,Subotica,Serbia,46.0983,19.67
Girona,Girona,Spain,41.9833,2.8167
Nusaybin,Nusaybin,Turkey,37.0833,41.2167
Lo Barnechea,Lo Barnechea,Chile,-33.35,-70.5167
Paço do Lumiar,Paco do Lumiar,Brazil,-2.5319,-44.1078
Trincomalee,Trincomalee,Sri Lanka,8.5667,81.2333
Mang La,Mang La,Vietnam,14.3838,107.9833
Nova Serrana,Nova Serrana,Brazil,-19.8758,-44.9839
Akhmīm,Akhmim,Egypt,26.5642,31.7461
Azare,Azare,Nigeria,11.6804,10.19
Brovary,Brovary,Ukraine,50.5114,30.7903
Itumbiara,Itumbiara,Brazil,-18.42,-49.2178
Yelets,Yelets,Russia,52.6167,38.4667
Pushkino,Pushkino,Russia,56.0167,37.85
Tikrīt,Tikrit,Iraq,34.6,43.6833
Robāţ Karīm,Robat Karim,Iran,35.4847,51.0828
Malacatán,Malacatan,Guatemala,14.9121,-92.0606
Koutiala,Koutiala,Mali,12.3833,-5.4667
Lerma,Lerma,Mexico,19.2847,-99.5119
Ciudad Río Bravo,Ciudad Rio Bravo,Mexico,25.9861,-98.0889
Highlands Ranch,Highlands Ranch,United States,39.5419,-104.9708
Allen,Allen,United States,33.1088,-96.6735
Tarīm,Tarim,Yemen,16.05,49
Kroonstad,Kroonstad,South Africa,-27.6456,27.2317
Mazyr,Mazyr,Belarus,52.05,29.2333
Kandhkot,Kandhkot,Pakistan,28.4,69.3
Toride,Toride,Japan,35.9114,140.0503
Granada,Granada,Nicaragua,11.93,-85.9561
Ituiutaba,Ituiutaba,Brazil,-18.9689,-49.465
Kongolo,Kongolo,Congo (Kinshasa),-5.3795,26.98
Moers,Moers,Germany,51.4592,6.6197
Liberec,Liberec,Czechia,50.77,15.0584
Yozgat,Yozgat,Turkey,39.8208,34.8083
Novara,Novara,Italy,45.45,8.6167
Subic,Subic,Philippines,14.9,120.2333
Al Fāw,Al Faw,Iraq,29.98,48.47
West Covina,West Covina,United States,34.0555,-117.9112
Salzgitter,Salzgitter,Germany,52.1503,10.3593
Berdsk,Berdsk,Russia,54.75,83.1
Sparks,Sparks,United States,39.5729,-119.7157
Waterloo,Waterloo,Canada,43.4667,-80.5167
Lavras,Lavras,Brazil,-21.245,-45
Galle,Galle,Sri Lanka,6.0395,80.2194
San Vicente de Baracaldo,San Vicente de Baracaldo,Spain,43.2972,-2.9917
Lingayen,Lingayen,Philippines,16.0167,120.2333
Tādepallegūdem,Tadepallegudem,India,16.8333,81.5
Zomba,Zomba,Malawi,-15.3833,35.3333
Dobrich,Dobrich,Bulgaria,43.5667,27.8333
Sergiyev Posad,Sergiyev Posad,Russia,56.3,38.1333
Konotop,Konotop,Ukraine,51.2369,33.2027
Wichita Falls,Wichita Falls,United States,33.9072,-98.5291
Courbevoic,Courbevoic,France,48.8978,2.2531
Zihuatanejo,Zihuatanejo,Mexico,17.6444,-101.5511
Fugangcun,Fugangcun,China,23.5899,116.5924
Trindade,Trindade,Brazil,-16.6489,-49.4889
San Ildefonso,San Ildefonso,Philippines,15.0789,120.9419
Bouskoura,Bouskoura,Morocco,33.4489,-7.6486
Inzai,Inzai,Japan,35.8322,140.1458
Khāk-e ‘Alī,Khak-e `Ali,Iran,36.1283,50.1764
Maumere,Maumere,Indonesia,-8.6189,122.2123
Samal,Samal,Philippines,7.05,125.7333
San Mateo,San Mateo,United States,37.5521,-122.3122
Villa Luzuriaga,Villa Luzuriaga,Argentina,-34.6667,-58.5833
Eastbourne,Eastbourne,United Kingdom,50.77,0.28
Worcester,Worcester,United Kingdom,52.192,-2.22
Caseros,Caseros,Argentina,-34.6167,-58.5333
Fyfield,Fyfield,United Kingdom,51.739,0.2722
Quezon,Quezon,Philippines,7.7333,125.1
Ginowan,Ginowan,Japan,26.2817,127.7783
Tula de Allende,Tula de Allende,Mexico,20.05,-99.35
Catbalogan,Catbalogan,Philippines,11.7833,124.8833
Abengourou,Abengourou,Côte D’Ivoire,6.7297,-3.4964
Lower Hutt,Lower Hutt,New Zealand,-41.2167,174.9167
Delft,Delft,Netherlands,52.0119,4.3594
Kamianets-Podilskyi,Kamianets-Podilskyi,Ukraine,48.6806,26.5806
Kalyani,Kalyani,India,22.975,88.4344
Kilinochchi,Kilinochchi,Sri Lanka,9.4004,80.3999
Columbia,Columbia,United States,39.2004,-76.859
Saijō,Saijo,Japan,33.9196,133.1812
Piacenza,Piacenza,Italy,45.05,9.7
EdDamer,EdDamer,Sudan,17.59,33.96
Norwalk,Norwalk,United States,33.9069,-118.0829
Santa Rosa,Santa Rosa,Argentina,-36.6203,-64.2906
Isehara,Isehara,Japan,35.4028,139.315
Dolisie,Dolisie,Congo (Brazzaville),-4.1961,12.6731
Itaperuna,Itaperuna,Brazil,-21.205,-41.8878
Negapatam,Negapatam,India,10.7667,79.8333
Pateros,Pateros,Philippines,14.5417,121.0667
Wigan,Wigan,United Kingdom,53.5448,-2.6318
Tourcoing,Tourcoing,France,50.7239,3.1612
Maluñgun,Malungun,Philippines,6.2667,125.2833
Siegen,Siegen,Germany,50.8756,8.0167
Dongguazhen,Dongguazhen,China,25.079,101.502
Biak,Biak,Indonesia,-1.1615,136.0485
Elista,Elista,Russia,46.3167,44.2667
Yishi,Yishi,China,35.1379,110.764
Libertad,Libertad,Argentina,-34.6833,-58.6833
Mazatenango,Mazatenango,Guatemala,14.5333,-91.5
Rialto,Rialto,United States,34.1174,-117.3894
Breves,Breves,Brazil,-1.6819,-50.48
Lida,Lida,Belarus,53.8872,25.3028
Thika,Thika,Kenya,-1.0396,37.09
Manteca,Manteca,United States,37.7927,-121.2264
Bumba,Bumba,Congo (Kinshasa),2.19,22.46
Guiguinto,Guiguinto,Philippines,14.8333,120.8833
